Customer_ID,Region,Lifetime_Value,Churn_Probability,Retention_Strategy
CUST_9HOS83,South America,952.81,0.98,Loyalty Program
CUST_IGH8G3,North America,4880.01,0.78,Discount
CUST_P9K9F2,Europe,7031.07,0.94,Email Campaign
CUST_FX276G,Asia,9395.6,0.73,Email Campaign
CUST_H605W3,Europe,6589.81,0.86,Email Campaign
CUST_WQB3QG,Europe,7317.6,0.89,Loyalty Program
CUST_EF8557,Asia,6578.3,0.78,Email Campaign
CUST_NWGN1Z,North America,3845.95,0.78,Email Campaign
CUST_EA95KF,Asia,5125.94,0.88,Email Campaign
CUST_T95LCL,Europe,1794.11,0.83,Discount
CUST_MD1TF0,North America,9709.29,0.82,Email Campaign
CUST_5C973R,Asia,2028.94,0.76,Discount
CUST_OL6Z6A,North America,3860.4,0.95,Discount
CUST_4XM4T8,South America,6527.21,0.97,Discount
CUST_G3CBW1,North America,3585.45,0.98,Email Campaign
CUST_BP1CZW,South America,4860.19,0.93,Discount
CUST_V6TG3I,Europe,4384.96,0.94,Email Campaign
CUST_FQDNFA,North America,2071.72,0.78,Loyalty Program
CUST_5LNW0H,Europe,4032.5,0.97,Email Campaign
CUST_TWR7Q9,South America,3278.04,0.92,Loyalty Program
CUST_44WU3H,North America,9777.23,0.99,Email Campaign
CUST_5CMJNC,North America,9884.14,1,Loyalty Program
CUST_RIOS1B,North America,9939.87,0.75,Discount
CUST_BY0GMM,Asia,6700.23,0.92,Email Campaign
CUST_8G18L2,North America,2131.19,0.94,Discount
CUST_G141RX,Asia,5732.6,0.82,Email Campaign
CUST_JPDA4D,South America,3714.99,0.76,Loyalty Program
CUST_REKKSM,Asia,5970.92,0.8,Discount
CUST_1F6ITR,North America,182.6,0.94,Loyalty Program
CUST_A9PHFE,Asia,3128.79,0.76,Email Campaign
CUST_HOB0YK,Europe,8802.47,0.74,Loyalty Program
CUST_5T9TN8,Europe,4170.5,0.86,Discount
CUST_ZYJ13O,South America,7231.13,0.86,Discount
CUST_ZJT22H,North America,3050.4,0.93,Loyalty Program
CUST_4RESKZ,Europe,128.02,0.71,Loyalty Program
CUST_EGCZS5,Europe,6756.35,0.98,Loyalty Program
CUST_2MCHA9,Asia,7577.54,0.77,Email Campaign
CUST_TBJH1N,South America,2525.29,0.82,Loyalty Program
CUST_0CB73G,North America,1716.41,0.82,Loyalty Program
CUST_DCB05J,Asia,9071.72,0.75,Email Campaign
CUST_7WS7QT,Europe,1280.44,0.97,Discount
CUST_EYA1WF,Europe,5618.73,0.76,Loyalty Program
CUST_7DL54F,Europe,3034.81,0.9,Loyalty Program
CUST_UUECOU,North America,4237.48,0.89,Loyalty Program
CUST_D3OZEV,South America,4483.33,0.83,Discount
CUST_W2GG22,South America,3777.19,0.77,Loyalty Program
CUST_P50GJC,North America,1442.09,0.73,Email Campaign
CUST_G2QS02,South America,6686.41,0.92,Email Campaign
CUST_4AARW5,Europe,9676.79,0.93,Email Campaign
CUST_3AUFK5,Asia,708.91,0.79,Email Campaign
CUST_YS4VJ7,South America,5698.74,0.83,Loyalty Program
CUST_NEROOC,North America,3665.48,0.85,Discount
CUST_I32763,Europe,4469.42,0.96,Email Campaign
CUST_R73TA0,Asia,6516.17,0.92,Email Campaign
CUST_CHXLKZ,North America,3262.85,0.74,Email Campaign
CUST_SUZMBI,North America,959.57,0.87,Discount
CUST_A8D38V,South America,5681.12,0.84,Discount
CUST_GG7RC6,South America,6400.72,0.75,Email Campaign
CUST_W3D7AU,Europe,4726.93,0.93,Discount
CUST_LQSSAP,Asia,2094.74,0.82,Discount
CUST_B9TQ73,South America,8345.59,0.97,Discount
CUST_HMS7NA,North America,1332.89,0.89,Email Campaign
CUST_DEPZGJ,North America,3960.54,0.75,Loyalty Program
CUST_S9BHPD,North America,2832.81,0.75,Email Campaign
CUST_2HCWYF,North America,4530.07,0.95,Loyalty Program
CUST_N6E2GD,South America,6985.54,0.91,Loyalty Program
CUST_Y95FNF,South America,8780.48,0.82,Email Campaign
CUST_2L0EV4,Europe,3241.05,0.8,Discount
CUST_HGC6UD,South America,2407.1,0.85,Discount
CUST_TW4F0U,North America,7285.95,0.95,Discount
CUST_QJ4418,Asia,5429.9,0.96,Loyalty Program
CUST_RY3QPC,South America,2613.84,0.96,Email Campaign
CUST_RS16ZL,South America,4714.8,0.84,Loyalty Program
CUST_CP9S2B,Asia,8726.84,0.98,Discount
CUST_IQQ5A0,Europe,8234.75,0.9,Loyalty Program
CUST_MOSOGJ,North America,6259.35,0.87,Email Campaign
CUST_JF8LX6,North America,5025.04,0.81,Email Campaign
CUST_LOXMXC,South America,3197.12,0.82,Loyalty Program
CUST_KSNIL6,Asia,9673.73,0.88,Loyalty Program
CUST_M702RV,Asia,5477.39,0.82,Email Campaign
CUST_NLEP83,North America,4940.81,0.88,Loyalty Program
CUST_BGPHO9,North America,4701.33,0.79,Email Campaign
CUST_59NU2J,North America,8436.7,0.74,Discount
CUST_DI8MAW,Asia,7318.59,0.84,Loyalty Program
CUST_I94VDI,Europe,5814.36,0.77,Loyalty Program
CUST_87ECSH,South America,5404.73,0.81,Email Campaign
CUST_3HUDDU,North America,7140.09,0.8,Email Campaign
CUST_CRNS6Q,Asia,6063.69,0.76,Email Campaign
CUST_4FRN3I,Asia,7780.65,0.87,Email Campaign
CUST_4XXYLZ,South America,5987.93,0.82,Discount
CUST_X00RSD,Asia,4591.27,0.85,Discount
CUST_I1P12Y,Europe,2192.65,0.75,Loyalty Program
CUST_2KLMD7,North America,5633.69,0.98,Loyalty Program
CUST_5N5HSG,North America,4485.89,0.86,Discount
CUST_BWP6EV,Asia,7237.4,0.81,Loyalty Program
CUST_F7T57R,North America,2379.32,0.9,Email Campaign
CUST_GR0GUR,South America,5604.93,0.99,Email Campaign
CUST_DLUH1W,Asia,940.47,0.72,Discount
CUST_E3LWZI,South America,7124.75,0.86,Discount
CUST_RMQZO4,North America,6812.99,0.95,Discount
CUST_GIM0YU,North America,2893.15,1,Email Campaign
CUST_KH0YA2,Europe,1692.23,0.86,Email Campaign
CUST_SPBM6W,North America,5851.7,0.95,Loyalty Program
CUST_04IZH6,Asia,3170.87,0.98,Discount
CUST_FI8N1E,North America,2513.29,0.73,Loyalty Program
CUST_ETLE29,Europe,267.14,0.74,Loyalty Program
CUST_L0V34A,Europe,9255.8,0.73,Loyalty Program
CUST_VVEFPN,Asia,2173.35,0.71,Discount
CUST_HQ8BJ6,North America,6549,0.9,Discount
CUST_X2M2OU,Asia,6913.93,0.89,Email Campaign
CUST_PJ39E8,North America,6232.09,0.77,Loyalty Program
CUST_FIWD0L,Europe,1441.46,0.76,Email Campaign
CUST_E8LUMX,North America,1777.81,0.97,Email Campaign
CUST_EVURL6,Europe,6896.55,0.75,Discount
CUST_B2NHJD,South America,5062.21,0.78,Discount
CUST_3KBWEM,Europe,3958.15,0.9,Loyalty Program
CUST_B2BXVP,North America,5299.71,0.87,Discount
CUST_W9WN0S,North America,4362.86,0.95,Discount
CUST_TSP6PQ,North America,2059.76,0.97,Loyalty Program
CUST_SNSMSZ,North America,9871.97,0.85,Discount
CUST_BRVREI,Asia,7071.55,1,Loyalty Program
CUST_TTT502,Asia,9189.04,0.93,Email Campaign
CUST_BM02DB,South America,9110.58,0.86,Discount
CUST_WIC77E,North America,8474.4,0.91,Discount
CUST_W5A0HJ,Asia,2392.33,0.88,Discount
CUST_HXNMZA,North America,7632.98,0.96,Discount
CUST_35V453,North America,4425.35,0.93,Discount
CUST_D86JU9,North America,7586.43,0.96,Loyalty Program
CUST_TK22YT,South America,3851.58,0.85,Email Campaign
CUST_7BLH5G,South America,1430.78,0.73,Loyalty Program
CUST_9IV4EZ,South America,2125.09,0.79,Discount
CUST_IKLFBS,South America,6799.83,0.79,Loyalty Program
CUST_XNM16I,South America,2435.72,0.9,Email Campaign
CUST_75MUKG,Europe,6932.26,0.87,Discount
CUST_4KBV4A,North America,4892.23,0.93,Email Campaign
CUST_S8UWS3,Europe,9787.02,0.78,Email Campaign
CUST_XAVLCN,Europe,3102.2,0.93,Loyalty Program
CUST_EC89AI,Asia,6177.69,0.93,Email Campaign
CUST_9ATW7P,South America,4680.9,0.72,Email Campaign
CUST_JMJ2L4,Asia,9203.9,0.81,Discount
CUST_8S3F9Q,South America,216.49,0.86,Email Campaign
CUST_S59ZVC,Europe,2068.61,0.75,Email Campaign
CUST_BBUJXY,South America,4571.41,0.82,Email Campaign
CUST_MG0Z33,South America,7342.06,0.74,Discount
CUST_JOKIBK,North America,9136.92,0.82,Discount
CUST_A7N5R1,Asia,645.52,0.72,Discount
CUST_TREEWW,North America,6013.66,0.93,Loyalty Program
CUST_QK15C0,Europe,9731.5,0.92,Loyalty Program
CUST_TLHE6T,South America,2098.94,0.82,Email Campaign
CUST_X74SYX,Europe,2213.8,0.8,Discount
CUST_BCCFX7,North America,5403.76,0.86,Discount
CUST_EMO4IB,Asia,7283.06,0.91,Email Campaign
CUST_9BQOLL,Europe,6151.82,0.93,Loyalty Program
CUST_QYTH56,South America,9151.55,0.76,Loyalty Program
CUST_HCBMJC,North America,2599,0.79,Loyalty Program
CUST_DKC54Q,South America,2703.94,0.78,Email Campaign
CUST_WAH34Z,South America,137.84,0.89,Email Campaign
